pathway,pval,padj,log2err,ES,NES,size,leadingEdge,topGenes
KEGG_ECM_RECEPTOR_INTERACTION,0.00427582813668344,0.0284037154793971,0.407017918923954,0.659504405651152,1.25453789909634,78,THBS2|THBS4|LAMC2|LAMA3|LAMB3|ITGA2|LAMA2|RELN|ITGB5|SV2B|ITGA6|VWF|GP1BA|HMMR|ITGA11|SV2C|ITGB7|LAMA1|COL6A6|COMP,"THBS2, THBS4, LAMC2, LAMA3, LAMB3"
KEGG_ENDOMETRIAL_CANCER,0.00620920493562729,0.0372552296137637,0.407017918923954,0.697036695454106,1.29879018057272,47,MYC|TCF7|PIK3R1|RAF1|CCND1|CTNNA2|PTEN|LEF1|GRB2|AXIN1|FOXO3|NRAS|MAP2K1|PIK3CA|CTNNA1|PIK3R3|PIK3CB|CDH1|MAPK1|AKT3,"MYC, TCF7, PIK3R1, RAF1, CCND1"
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.000718971276171434,0.00891524382452578,0.477270815362862,0.78097828280348,1.44752306782224,34,IL6|CD86|FAS|HLA-DRB3|HLA-DRB1|HLA-DQA2|HLA-E|HLA-DQA1|HLA-DRA|KLRC1,"IL6, CD86, FAS, HLA-DRB3, HLA-DRB1"
KEGG_HEMATOPOIETIC_CELL_LINEAGE,8.96163101535105e-06,0.000333372673771059,0.593325476396405,0.73076499432879,1.39236532663222,84,IL1R1|IL6|KIT|HLA-DRB3|HLA-DRB1|IL1R2|IL7R|CSF2RA|CD55|KITLG|ITGA2|IL11|EPOR|CD59|IL4R|IL2RA|ITGA6|HLA-DRA|CD4|GP1BA|TFRC|CSF1|CD34|IL11RA|CR2|CD9,"IL1R1, IL6, KIT, HLA-DRB3, HLA-DRB1"
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.00094803053059884,0.0103725693347873,0.477270815362862,0.748986705003481,1.3955488093546,42,IL6|CD86|HLA-DRB3|HLA-DRB1|IL15RA|ICOSLG|HLA-DQA2|CD40|HLA-DQA1|IL10|HLA-DRA|CXCL12|ICOS|ITGB7|TNFRSF13C|CCR9,"IL6, CD86, HLA-DRB3, HLA-DRB1, IL15RA"
KEGG_JAK_STAT_SIGNALING_PATHWAY,2.84361623434044e-08,1.76304206529107e-06,0.73376198835648,0.715378490837055,1.37686669600324,151,SPRY1|SOCS2|IL6|IL13RA2|SPRED1|MYC|SOCS3|LIF|IL7R|STAT5A|IL24|PIK3R1|TSLP|SPRY2|CSF2RA|JAK1|IL2RG|CLCF1|IL22RA1|OSMR|IL11|IFNW1|IL6ST|IL15RA|CRLF2|EPOR|IFNLR1|SPRY4|IL4R|CCND1|LIFR|IL10|IL2RA|IFNK|IFNA6|STAM|IFNA7|IFNA14|CBLB|GRB2|IL11RA|PTPN11|IFNA16|CREBBP|LEPR|PIAS2,"SPRY1, SOCS2, IL6, IL13RA2, SPRED1"
KEGG_MAPK_SIGNALING_PATHWAY,3.00950285653406e-06,0.000139941882828834,0.627256739718528,0.654814239357857,1.26912245221989,252,PDGFRA|IL1R1|FGF7|FGF2|DUSP5|RASGRP1|MYC|NLK|NR4A1|FAS|IL1R2|TGFBR2|MAP4K4|RELA|MRAS|SRF|MAP3K3|RAF1|ELK4|DUSP6|PLA2G4A|RAC1|DUSP1|TGFB3|GADD45B|MAP3K20|MAP4K2|FGF10|MAX|RAPGEF2|NFKB1|PPP3CA|CACNA1A|MAP2K3|CACNG5|STK4|NFATC2|RPS6KA4|RASGRP3|MKNK2|RELB|RASA2|RASGRF1|MAP2K6|ATF4|TGFBR1|HSPA1L|GRB2|PLA2G12A|CACNA1D|DUSP7|FGF9|FGF13|NFKB2|DUSP4|NRAS|CACNA2D2|MAP2K1|CACNA2D1|LAMTOR3|CACNA1F|STMN1|GNG12|NTRK1,"PDGFRA, IL1R1, FGF7, FGF2, DUSP5"
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.00227539865847252,0.0184010500206908,0.431707695803346,0.793907877939695,1.44301674591764,23,IAPP|SLC2A2|PDX1|MAFA|NKX6-1|NKX2-2,"IAPP, SLC2A2, PDX1, MAFA, NKX6-1"
KEGG_MELANOMA,0.000166644500018762,0.00304782864738144,0.518848077743792,0.719318042894389,1.35935054899189,66,PDGFRA|FGF7|FGF2|HGF|CDKN1A|PIK3R1|RAF1|IGF1R|IGF1|FGF10|CCND1|PTEN|PDGFC|FGF9|FGF13|NRAS|MAP2K1|PIK3CA,"PDGFRA, FGF7, FGF2, HGF, CDKN1A"
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.00784661089528252,0.0437431828071387,0.380730400722792,0.620621661655193,1.18896795525212,131,TNFRSF10D|FAS|TNFRSF10A|PIK3R1|RAF1|RAC1|VAV3|TNFRSF10B|KLRK1|FCGR3A|FCGR3B|HLA-E|TYROBP|PPP3CA|LCP2|NFATC2|IFNA6|KLRC3|PTK2B|KLRC1|VAV2|IFNA7|IFNA14|NCR3|BID|ULBP3|GRB2|PTPN11|IFNA16|KIR2DL4|MICB|NRAS|SH3BP2|MAP2K1|PIK3CA|KIR2DL3|KIR2DL1|SH2D1B|PIK3R3|ITGAL|CD48|KLRD1|PIK3CB|CD247|PRKCG|MAPK1|FCER1G|ICAM1|NFATC1|PPP3CB|NFATC3|SHC3|PRKCB|PTPN6|SHC4|IFNA5|PIK3CG|LAT,"TNFRSF10D, FAS, TNFRSF10A, PIK3R1, RAF1"
KEGG_PATHWAYS_IN_CANCER,1.8042122038225e-08,1.67791734955493e-06,0.73376198835648,0.659168510321324,1.27939125257708,300,PDGFRA|FGF7|FGF2|IL6|HGF|KIT|PTGS2|MYC|TGFA|FAS|FZD7|STAT5A|ABL1|TGFBR2|RELA|LAMC2|PPARD|TCF7|CDKN1A|PIK3R1|CSF2RA|JAK1|EPAS1|LAMA3|KITLG|DAPK2|RAF1|LAMB3|ITGA2|RAC1|LAMA2|TGFB3|IGF1R|MMP2|IGF1|RXRG|FGF10|MAX|CCND1|NFKB1|CXCL8|CDKN1B|CTNNA2|RXRB|PGF|ITGA6|STK4|SMAD3|PTEN|BMP2|RALA|RARA|LEF1|MSH3|ETS1|BIRC2|TGFBR1|MMP1|CBLB|BID|GLI3|BCL2|ZBTB16|LAMA1|GRB2|AXIN1|NFKBIA|FGF9|CREBBP|FGF13|RASSF1|NFKB2|PIAS2|WNT5B|NRAS|MAP2K1|PIK3CA|CDK2,"PDGFRA, FGF7, FGF2, IL6, HGF"
KEGG_PPAR_SIGNALING_PATHWAY,7.50164844571844e-05,0.00199329515843376,0.538434096309916,0.748359874919282,1.41161759979186,64,ACSL4|LPL|ACSL5|ME1|PPARD|PCK1|OLR1|SCP2|DBI|GK|EHHADH|RXRG|PLTP|FADS2|ACADM|SCD|RXRB|SCD5|MMP1|SLC27A2,"ACSL4, LPL, ACSL5, ME1, PPARD"
KEGG_PROSTATE_CANCER,0.000180247930759117,0.00304782864738144,0.518848077743792,0.698893182410937,1.33012743706562,79,PDGFRA|TGFA|RELA|TCF7|CDKN1A|PIK3R1|RAF1|IGF1R|IGF1|CCND1|NFKB1|CDKN1B|PTEN|LEF1|ATF4|BCL2|GRB2|PDGFC|NFKBIA|CREBBP|NRAS|MAP2K1|PIK3CA|CDK2|PIK3R3|CREB5,"PDGFRA, TGFA, RELA, TCF7, CDKN1A"
KEGG_PURINE_METABOLISM,0.00242338890629385,0.0187812640237773,0.431707695803346,0.626544580004658,1.2061776438388,152,PDE1A|PDE7B|PDE3A|DCK|NT5E|PNP|PDE4B|PNPT1|ENTPD3|POLR1E|PDE1C|GUCY1B1|POLR2A|PDE10A|GMPS|NME5|NME7|ITPA|PDE6B|PAPSS1|PAICS|POLR2J3|POLR2J2|POLR3C|AK4|GUCY1A2|PDE1B|PDE5A|PDE6D|ADSS2|POLA2|GMPR2|GUCY2F|GUK1|ENTPD8|NME3|NT5C2|ADCY2|PFAS|PDE8B|PRPS2|RRM2|PDE4A|ENTPD1|IMPDH2|POLR2D|POLR2J,"PDE1A, PDE7B, PDE3A, DCK, NT5E"
KEGG_PYRIMIDINE_METABOLISM,0.00516815433041816,0.0331474726019923,0.407017918923954,0.647745293706377,1.23689629549144,94,UCK2|DCK|NT5E|PNP|CTPS1|CTPS2|PNPT1|ENTPD3|POLR1E|DHODH|POLR2A|UPP1|NME5|NME7|ITPA|UPB1|POLR2J3|POLR2J2|POLR3C|TK2|POLA2|DPYD|DUT|ENTPD8|TK1|NME3|NT5C2,"UCK2, DCK, NT5E, PNP, CTPS1"
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.00316334229343525,0.0217919135769984,0.431707695803346,0.611870464077465,1.18022913185466,202,PDGFRA|FGF7|FGF2|BDKRB1|MRAS|PIK3R1|MSN|PIP4K2A|RAF1|ARHGEF6|ITGA2|RAC1|VAV3|PFN2|EZR|SCIN|SSH1|ITGB5|ITGAX|PPP1CC|FGF10|DIAPH3|ITGA6|VCL|VAV2|ITGA11|MYH10|ARPC5|ITGB7|ARPC5L|PDGFC|FGF9|FGF13|WASF2|MYLK|NRAS|MAP2K1|PAK3|PIK3CA|ARHGEF1|MYLK2|BDKRB2|GNG12|PIK3R3|LIMK1|ROCK1|ITGAL,"PDGFRA, FGF7, FGF2, BDKRB1, MRAS"
KEGG_SMALL_CELL_LUNG_CANCER,0.00137141155808757,0.0127541274902144,0.45505986738723,0.680985913090644,1.29540095472059,78,PTGS2|MYC|RELA|LAMC2|PIK3R1|LAMA3|LAMB3|ITGA2|LAMA2|RXRG|MAX|CCND1|NFKB1|CDKN1B|RXRB|ITGA6|PTEN|BIRC2|BCL2|LAMA1|NFKBIA|PIAS2|PIK3CA|CDK2,"PTGS2, MYC, RELA, LAMC2, PIK3R1"
KEGG_SPLICEOSOME,0.000544955479545218,0.00779705532272389,0.477270815362862,0.653364369558843,1.2495719954057,125,RBM25|TCERG1|EFTUD2|DHX15|DDX42|RBM17|SRSF9|CTNNBL1|ALYREF|SF3A3|SNRPA1|U2AF1|ISY1|SNRPA|HNRNPM|SRSF2|PRPF4|LSM4|U2SURP|RBMX|HNRNPK|MAGOH|RBM22|SNRPD3|SART1|SNRPB|PRPF40A|SNRPD1|HSPA1L|SRSF7|DHX16|PRPF38B|PRPF19|DDX39B|DDX46|WBP11|PRPF40B|PQBP1|RBM8A|XAB2|SNRPF|HNRNPC|HNRNPA1|SRSF1|SNRNP40|HNRNPU|SF3A2|SF3B4|PRPF38A|SRSF8|SF3A1|SF3B5|PPIE|EIF4A3|SNRPD2|SRSF6|SNW1|LSM6,"RBM25, TCERG1, EFTUD2, DHX15, DDX42"
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.000654860097235212,0.00870028414898211,0.477270815362862,0.655702410706718,1.25521990269171,128,C1S|CD86|C1R|HLA-DRB3|HLA-DRB1|SSB|C7|H2AC21|FCGR3A|FCGR3B|H4C13|HLA-DQA2|CD40|HLA-DQA1|H3-5|IL10|H3C13|H3C15|H3C14|HLA-DRA|H3C7|SNRPD3|H4C11|H4C12|RO60|SNRPB|SNRPD1,"C1S, CD86, C1R, HLA-DRB3, HLA-DRB1"
KEGG_TGF_BETA_SIGNALING_PATHWAY,9.98335585276184e-05,0.00206322687623745,0.538434096309916,0.706960074445497,1.34700854941111,84,DCN|BMPR1B|THBS2|MYC|LTBP1|INHBA|SMURF1|BMP6|THBS4|TGFBR2|SP1|FST|TGFB3|SMAD9|SMAD3|RBL2|BMP2|ACVR1C|E2F4|TGFBR1|BMP5|CUL1|CREBBP|COMP|INHBB,"DCN, BMPR1B, THBS2, MYC, LTBP1"
KEGG_TYPE_II_DIABETES_MELLITUS,0.000362276041084901,0.00561527863681596,0.49849310876659,0.763448821892489,1.42249533573534,42,SOCS2|SLC2A2|PDX1|SOCS3|MAFA|ABCC8|PIK3R1|HK1|IRS1|HK2|CACNA1A|KCNJ11,"SOCS2, SLC2A2, PDX1, SOCS3, MAFA"
KEGG_TYPE_I_DIABETES_MELLITUS,0.00297835369022815,0.0217919135769984,0.431707695803346,0.748386272436574,1.38720192784103,35,CD86|FAS|HLA-DRB3|HLA-DRB1|HLA-DQA2|HLA-E|HLA-DQA1|HLA-DRA|PTPRN|GAD2|GAD1|CPE,"CD86, FAS, HLA-DRB3, HLA-DRB1, HLA-DQA2"
KEGG_VIRAL_MYOCARDITIS,8.96811073833323e-05,0.00206322687623745,0.538434096309916,0.749723892359553,1.40721332985675,58,CD86|HLA-DRB3|HLA-DRB1|ABL1|CD55|RAC1|LAMA2|ABL2|HLA-DQA2|HLA-E|CD40|HLA-DQA1|CCND1|HLA-DRA|MYH10|BID,"CD86, HLA-DRB3, HLA-DRB1, ABL1, CD55"
